baseline_cm,min_depth_m,max_depth_m
2.000000000000000000e+00,7.288200907890768528e-03,2.324936089617155144e+00
2.235294117647058876e+00,8.145636308819094798e-03,2.598457982513291409e+00
2.470588235294117752e+00,9.003071709747420201e-03,2.871979875409427230e+00
2.705882352941176627e+00,9.860507110675745604e-03,3.145501768305563051e+00
2.941176470588235503e+00,1.071794251160407274e-02,3.419023661201699316e+00
3.176470588235294379e+00,1.157537791253239814e-02,3.692545554097835137e+00
3.411764705882353255e+00,1.243281331346072355e-02,3.966067446993970957e+00
3.647058823529411686e+00,1.329024871438904895e-02,4.239589339890106778e+00
3.882352941176471006e+00,1.414768411531737609e-02,4.513111232786243043e+00
4.117647058823528994e+00,1.500511951624569802e-02,4.786633125682377532e+00
4.352941176470588758e+00,1.586255491717402863e-02,5.060155018578514685e+00
4.588235294117646745e+00,1.671999031810234709e-02,5.333676911474649174e+00
4.823529411764705621e+00,1.757742571903067944e-02,5.607198804370786327e+00
5.058823529411764497e+00,1.843486111995900137e-02,5.880720697266921704e+00
5.294117647058823373e+00,1.929229652088733024e-02,6.154242590163057969e+00
5.529411764705882248e+00,2.014973192181565217e-02,6.427764483059193346e+00
5.764705882352941124e+00,2.100716732274398105e-02,6.701286375955329611e+00
6.000000000000000000e+00,2.186460272367230645e-02,6.974808268851465876e+00
6.235294117647058876e+00,2.272203812460063532e-02,7.248330161747602141e+00
6.470588235294118640e+00,2.357947352552896073e-02,7.521852054643738406e+00
6.705882352941176627e+00,2.443690892645728613e-02,7.795373947539873782e+00
6.941176470588235503e+00,2.529434432738561153e-02,8.068895840436010047e+00
7.176470588235293491e+00,2.615177972831393347e-02,8.342417733332144536e+00
7.411764705882354143e+00,2.700921512924226581e-02,8.615939626228282577e+00
7.647058823529411242e+00,2.786665053017058080e-02,8.889461519124415290e+00
7.882352941176469230e+00,2.872408593109890620e-02,9.162983412020551555e+00
8.117647058823528994e+00,2.958152133202723855e-02,9.436505304916689596e+00
8.352941176470586981e+00,3.043895673295555701e-02,9.710027197812822308e+00
8.588235294117646745e+00,3.129639213388388935e-02,9.983549090708960350e+00
8.823529411764706509e+00,3.215382753481221823e-02,1.025707098360509661e+01
9.058823529411764497e+00,3.301126293574054016e-02,1.053059287650123288e+01
9.294117647058822484e+00,3.386869833666886209e-02,1.080411476939736737e+01
9.529411764705882248e+00,3.472613373759719096e-02,1.107763666229350363e+01
9.764705882352942012e+00,3.558356913852551984e-02,1.135115855518964167e+01
1.000000000000000000e+01,3.644100453945384177e-02,1.162468044808577616e+01
1.023529411764705799e+01,3.729843994038216370e-02,1.189820234098191065e+01
1.047058823529411775e+01,3.815587534131049952e-02,1.217172423387804869e+01
1.070588235294117574e+01,3.901331074223882145e-02,1.244524612677418318e+01
1.094117647058823550e+01,3.987074614316715032e-02,1.271876801967032122e+01
1.117647058823529349e+01,4.072818154409546532e-02,1.299228991256645394e+01
1.141176470588235325e+01,4.158561694502380113e-02,1.326581180546259198e+01
1.164705882352941124e+01,4.244305234595212306e-02,1.353933369835872824e+01
1.188235294117647101e+01,4.330048774688045193e-02,1.381285559125486451e+01
1.211764705882352899e+01,4.415792314780877387e-02,1.408637748415099900e+01
1.235294117647058876e+01,4.501535854873710274e-02,1.435989937704713526e+01
1.258823529411764675e+01,4.587279394966542467e-02,1.463342126994327153e+01
1.282352941176470651e+01,4.673022935059375355e-02,1.490694316283940779e+01
1.305882352941176450e+01,4.758766475152207548e-02,1.518046505573554228e+01
1.329411764705882248e+01,4.844510015245040435e-02,1.545398694863167854e+01
1.352941176470588225e+01,4.930253555337872629e-02,1.572750884152781303e+01
1.376470588235294024e+01,5.015997095430704822e-02,1.600103073442394930e+01
1.400000000000000178e+01,5.101740635523538403e-02,1.627455262732008734e+01
1.423529411764705799e+01,5.187484175616370596e-02,1.654807452021622183e+01
1.447058823529411775e+01,5.273227715709203484e-02,1.682159641311235987e+01
1.470588235294117752e+01,5.358971255802035677e-02,1.709511830600849436e+01
1.494117647058823550e+01,5.444714795894867870e-02,1.736864019890462885e+01
1.517647058823529349e+01,5.530458335987701451e-02,1.764216209180076689e+01
1.541176470588235325e+01,5.616201876080533645e-02,1.791568398469690138e+01
1.564705882352941124e+01,5.701945416173365144e-02,1.818920587759303586e+01
1.588235294117646923e+01,5.787688956266198725e-02,1.846272777048917391e+01
1.611764705882352899e+01,5.873432496359030919e-02,1.873624966338530839e+01
1.635294117647058698e+01,5.959176036451863112e-02,1.900977155628144288e+01
1.658823529411764497e+01,6.044919576544695999e-02,1.928329344917758092e+01
1.682352941176470651e+01,6.130663116637529580e-02,1.955681534207371897e+01
1.705882352941176450e+01,6.216406656730361774e-02,1.983033723496985345e+01
1.729411764705882248e+01,6.302150196823193273e-02,2.010385912786598794e+01
1.752941176470588402e+01,6.387893736916028242e-02,2.037738102076212954e+01
1.776470588235294201e+01,6.473637277008859048e-02,2.065090291365826047e+01
1.800000000000000000e+01,6.559380817101691241e-02,2.092442480655439496e+01
1.823529411764705799e+01,6.645124357194524822e-02,2.119794669945053300e+01
1.847058823529411598e+01,6.730867897287357016e-02,2.147146859234666749e+01
1.870588235294117752e+01,6.816611437380189209e-02,2.174499048524280553e+01
1.894117647058823550e+01,6.902354977473022790e-02,2.201851237813894357e+01
1.917647058823529349e+01,6.988098517565854984e-02,2.229203427103507806e+01
1.941176470588235148e+01,7.073842057658685789e-02,2.256555616393120900e+01
1.964705882352941302e+01,7.159585597751519370e-02,2.283907805682734704e+01
1.988235294117647101e+01,7.245329137844352951e-02,2.311259994972348508e+01
2.011764705882352899e+01,7.331072677937185145e-02,2.338612184261961957e+01
2.035294117647058698e+01,7.416816218030017338e-02,2.365964373551575406e+01
2.058823529411764852e+01,7.502559758122850919e-02,2.393316562841189565e+01
2.082352941176470651e+01,7.588303298215683113e-02,2.420668752130803014e+01
2.105882352941176450e+01,7.674046838308513918e-02,2.448020941420416108e+01
2.129411764705882248e+01,7.759790378401347499e-02,2.475373130710029912e+01
2.152941176470588047e+01,7.845533918494179693e-02,2.502725319999643361e+01
2.176470588235294201e+01,7.931277458587013274e-02,2.530077509289257165e+01
2.200000000000000000e+01,8.017020998679845467e-02,2.557429698578870614e+01
2.223529411764705799e+01,8.102764538772679048e-02,2.584781887868484418e+01
2.247058823529411598e+01,8.188508078865511242e-02,2.612134077158097867e+01
2.270588235294117752e+01,8.274251618958343435e-02,2.639486266447711671e+01
2.294117647058823550e+01,8.359995159051175628e-02,2.666838455737325120e+01
2.317647058823529349e+01,8.445738699144007822e-02,2.694190645026938569e+01
2.341176470588235148e+01,8.531482239236840015e-02,2.721542834316552018e+01
2.364705882352941302e+01,8.617225779329674984e-02,2.748895023606166177e+01
2.388235294117647101e+01,8.702969319422507177e-02,2.776247212895779626e+01
2.411764705882352899e+01,8.788712859515339371e-02,2.803599402185393075e+01
2.435294117647058698e+01,8.874456399608171564e-02,2.830951591475006524e+01
2.458823529411764497e+01,8.960199939701002370e-02,2.858303780764619972e+01
2.482352941176470651e+01,9.045943479793835951e-02,2.885655970054233777e+01
2.505882352941176805e+01,9.131687019886669532e-02,2.913008159343847581e+01
2.529411764705882248e+01,9.217430559979501725e-02,2.940360348633461030e+01
2.552941176470587692e+01,9.303174100072332531e-02,2.967712537923074123e+01
2.576470588235293846e+01,9.388917640165166112e-02,2.995064727212687927e+01
2.600000000000000000e+01,9.474661180257999693e-02,3.022416916502301731e+01
2.623529411764705799e+01,9.560404720350831886e-02,3.049769105791915180e+01
2.647058823529411953e+01,9.646148260443664080e-02,3.077121295081528984e+01
2.670588235294118107e+01,9.731891800536497661e-02,3.104473484371142789e+01
2.694117647058823550e+01,9.817635340629329854e-02,3.131825673660756237e+01
2.717647058823528994e+01,9.903378880722160660e-02,3.159177862950369331e+01
2.741176470588235148e+01,9.989122420814994241e-02,3.186530052239983135e+01
2.764705882352941302e+01,1.007486596090782782e-01,3.213882241529596939e+01
2.788235294117647101e+01,1.016060950100066002e-01,3.241234430819210388e+01
2.811764705882352899e+01,1.024635304109349360e-01,3.268586620108824548e+01
2.835294117647058698e+01,1.033209658118632440e-01,3.295938809398437286e+01
2.858823529411764852e+01,1.041784012127915798e-01,3.323290998688051445e+01
2.882352941176471006e+01,1.050358366137199295e-01,3.350643187977665605e+01
2.905882352941176450e+01,1.058932720146482237e-01,3.377995377267278343e+01
2.929411764705881893e+01,1.067507074155765456e-01,3.405347566556891792e+01
2.952941176470588047e+01,1.076081428165048953e-01,3.432699755846505951e+01
2.976470588235294201e+01,1.084655782174332034e-01,3.460051945136119400e+01
3.000000000000000000e+01,1.093230136183615253e-01,3.487404134425732849e+01
